Freq.	V(out)
1.11515011455181e+00	(-3.41439341431003e+00dB,1.43396104164853e+02°)
1.11600635244662e+00	(-3.40271014743622e+00dB,1.43377997602680e+02°)
1.11686324778056e+00	(-3.39102872423227e+00dB,1.43359879261566e+02°)
1.11772080105845e+00	(-3.37934914667606e+00dB,1.43341749150745e+02°)
1.11857901278545e+00	(-3.36767141635784e+00dB,1.43323607274518e+02°)
1.11943788346715e+00	(-3.35599553460067e+00dB,1.43305453636295e+02°)
1.12029741360951e+00	(-3.34432150321227e+00dB,1.43287288243320e+02°)
1.12115760371887e+00	(-3.33264932378009e+00dB,1.43269111100176e+02°)
1.12201845430196e+00	(-3.32097899799486e+00dB,1.43250922213313e+02°)
1.12287996586593e+00	(-3.30931052724474e+00dB,1.43232721585418e+02°)
1.12374213891829e+00	(-3.29764391350997e+00dB,1.43214509227012e+02°)
1.12460497396693e+00	(-3.28597915809052e+00dB,1.43196285139103e+02°)
1.12546847152016e+00	(-3.27431626251865e+00dB,1.43178049327737e+02°)
1.12633263208666e+00	(-3.26265522870604e+00dB,1.43159801799445e+02°)
1.12719745617551e+00	(-3.25099605835322e+00dB,1.43141542562625e+02°)
1.12806294429618e+00	(-3.23933875273092e+00dB,1.43123271618030e+02°)
1.12892909695853e+00	(-3.22768331358013e+00dB,1.43104988973270e+02°)
1.12979591467280e+00	(-3.21602974251458e+00dB,1.43086694633633e+02°)
1.13066339794964e+00	(-3.20437804128674e+00dB,1.43068388606060e+02°)
1.13153154730008e+00	(-3.19272821134806e+00dB,1.43050070894537e+02°)
1.13240036323556e+00	(-3.18108025412454e+00dB,1.43031741503266e+02°)
1.13326984626788e+00	(-3.16943417170133e+00dB,1.43013400442289e+02°)
1.13413999690927e+00	(-3.15778996536021e+00dB,1.42995047713666e+02°)
1.13501081567232e+00	(-3.14614763669536e+00dB,1.42976683323262e+02°)
1.13588230307003e+00	(-3.13450718747505e+00dB,1.42958307278398e+02°)
1.13675445961581e+00	(-3.12286861928592e+00dB,1.42939919584372e+02°)
1.13762728582343e+00	(-3.11123193361559e+00dB,1.42921520245557e+02°)
1.13850078220708e+00	(-3.09959713214433e+00dB,1.42903109269186e+02°)
1.13937494928134e+00	(-3.08796421653373e+00dB,1.42884686660414e+02°)
1.14024978756117e+00	(-3.07633318832913e+00dB,1.42866252425054e+02°)
1.14112529756195e+00	(-3.06470404911229e+00dB,1.42847806568065e+02°)
1.14200147979943e+00	(-3.05307680043938e+00dB,1.42829349095360e+02°)
1.14287833478977e+00	(-3.04145144398428e+00dB,1.42810880013080e+02°)
1.14375586304954e+00	(-3.02982798141226e+00dB,1.42792399327476e+02°)
1.14463406509568e+00	(-3.01820641447043e+00dB,1.42773907045942e+02°)
1.14551294144554e+00	(-3.00658674426528e+00dB,1.42755403169522e+02°)
1.14639249261686e+00	(-2.99496897281572e+00dB,1.42736887708100e+02°)
1.14727271912780e+00	(-2.98335310169818e+00dB,1.42718360667176e+02°)
1.14815362149688e+00	(-2.97173913217399e+00dB,1.42699822048739e+02°)
1.14903520024306e+00	(-2.96012706636158e+00dB,1.42681271864575e+02°)
1.14991745588567e+00	(-2.94851690535268e+00dB,1.42662710115462e+02°)
1.15080038894444e+00	(-2.93690865113745e+00dB,1.42644136810270e+02°)
1.15168399993951e+00	(-2.92530230505219e+00dB,1.42625551953121e+02°)
1.15256828939142e+00	(-2.91369786886376e+00dB,1.42606955551928e+02°)
1.15345325782109e+00	(-2.90209534411317e+00dB,1.42588347611395e+02°)
1.15433890574988e+00	(-2.89049473242242e+00dB,1.42569728137360e+02°)
1.15522523369950e+00	(-2.87889603528985e+00dB,1.42551097135620e+02°)
1.15611224219210e+00	(-2.86729925439093e+00dB,1.42532454612609e+02°)
1.15699993175021e+00	(-2.85570439115962e+00dB,1.42513800572397e+02°)
1.15788830289678e+00	(-2.84411144756640e+00dB,1.42495135025167e+02°)
1.15877735615513e+00	(-2.83252042480381e+00dB,1.42476457972696e+02°)
1.15966709204901e+00	(-2.82093132480534e+00dB,1.42457769424743e+02°)
1.16055751110257e+00	(-2.80934414903854e+00dB,1.42439069385473e+02°)
1.16144861384035e+00	(-2.79775889879535e+00dB,1.42420357858570e+02°)
1.16234040078729e+00	(-2.78617557597883e+00dB,1.42401634852673e+02°)
1.16323287246875e+00	(-2.77459418214597e+00dB,1.42382900373878e+02°)
1.16412602941049e+00	(-2.76301471903832e+00dB,1.42364154429575e+02°)
1.16501987213867e+00	(-2.75143718795364e+00dB,1.42345397022960e+02°)
1.16591440117983e+00	(-2.73986159056216e+00dB,1.42326628161196e+02°)
1.16680961706097e+00	(-2.72828792843439e+00dB,1.42307847849843e+02°)
1.16770552030943e+00	(-2.71671620329167e+00dB,1.42289056096637e+02°)
1.16860211145301e+00	(-2.70514641652714e+00dB,1.42270252906004e+02°)
1.16949939101987e+00	(-2.69357857001547e+00dB,1.42251438285735e+02°)
1.17039735953862e+00	(-2.68201266498473e+00dB,1.42232612240505e+02°)
1.17129601753824e+00	(-2.67044870331420e+00dB,1.42213774777479e+02°)
1.17219536554813e+00	(-2.65888668644815e+00dB,1.42194925902508e+02°)
1.17309540409810e+00	(-2.64732661582024e+00dB,1.42176065620847e+02°)
1.17399613371836e+00	(-2.63576849349022e+00dB,1.42157193941762e+02°)
1.17489755493953e+00	(-2.62421232053180e+00dB,1.42138310868175e+02°)
1.17579966829264e+00	(-2.61265809873941e+00dB,1.42119416407247e+02°)
1.17670247430912e+00	(-2.60110582972481e+00dB,1.42100510565700e+02°)
1.17760597352081e+00	(-2.58955551487230e+00dB,1.42081593348627e+02°)
1.17851016645997e+00	(-2.57800715624333e+00dB,1.42062664766245e+02°)
1.17941505365925e+00	(-2.56646075479927e+00dB,1.42043724819533e+02°)
1.18032063565173e+00	(-2.55491631249381e+00dB,1.42024773517944e+02°)
1.18122691297089e+00	(-2.54337383085232e+00dB,1.42005810867498e+02°)
1.18213388615060e+00	(-2.53183331134467e+00dB,1.41986836873137e+02°)
1.18304155572517e+00	(-2.52029475554781e+00dB,1.41967851542151e+02°)
1.18394992222931e+00	(-2.50875816516180e+00dB,1.41948854881238e+02°)
1.18485898619813e+00	(-2.49722354164346e+00dB,1.41929846895580e+02°)
1.18576874816716e+00	(-2.48569088672057e+00dB,1.41910827593956e+02°)
1.18667920867236e+00	(-2.47416020166179e+00dB,1.41891796979102e+02°)
1.18759036825005e+00	(-2.46263148846710e+00dB,1.41872755062013e+02°)
