Freq.	V(out)
1.19582235141435e+00	(-2.40533540489918e+00dB,1.41971470872034e+02°)
1.19674053130725e+00	(-2.39379976318736e+00dB,1.41952431838017e+02°)
1.19765941619977e+00	(-2.38226609025649e+00dB,1.41933381491061e+02°)
1.19857900663324e+00	(-2.37073438798610e+00dB,1.41914319840367e+02°)
1.19949930314938e+00	(-2.35920465773052e+00dB,1.41895246890235e+02°)
1.20042030629035e+00	(-2.34767690121102e+00dB,1.41876162648690e+02°)
1.20134201659870e+00	(-2.33615111990712e+00dB,1.41857067121579e+02°)
1.20226443461742e+00	(-2.32462731541251e+00dB,1.41837960314908e+02°)
1.20318756088989e+00	(-2.31310548920261e+00dB,1.41818842234653e+02°)
1.20411139595995e+00	(-2.30158564298710e+00dB,1.41799712888399e+02°)
1.20503594037180e+00	(-2.29006777836295e+00dB,1.41780572282970e+02°)
1.20596119467011e+00	(-2.27855189668657e+00dB,1.41761420423042e+02°)
1.20688715939995e+00	(-2.26703799971110e+00dB,1.41742257316800e+02°)
1.20781383510678e+00	(-2.25552608883927e+00dB,1.41723082969471e+02°)
1.20874122233654e+00	(-2.24401616578974e+00dB,1.41703897388134e+02°)
1.20966932163552e+00	(-2.23250823197104e+00dB,1.41684700578775e+02°)
1.21059813355049e+00	(-2.22100228915755e+00dB,1.41665492549644e+02°)
1.21152765862859e+00	(-2.20949833879285e+00dB,1.41646273306635e+02°)
1.21245789741742e+00	(-2.19799638222786e+00dB,1.41627042853442e+02°)
1.21338885046498e+00	(-2.18649642133224e+00dB,1.41607801200006e+02°)
1.21432051831969e+00	(-2.17499845766926e+00dB,1.41588548353787e+02°)
1.21525290153040e+00	(-2.16350249253656e+00dB,1.41569284317536e+02°)
1.21618600064637e+00	(-2.15200852765137e+00dB,1.41550009100058e+02°)
1.21711981621730e+00	(-2.14051656460045e+00dB,1.41530722708825e+02°)
1.21805434879329e+00	(-2.12902660491674e+00dB,1.41511425148912e+02°)
1.21898959892487e+00	(-2.11753865001742e+00dB,1.41492116427408e+02°)
1.21992556716301e+00	(-2.10605270169635e+00dB,1.41472796551509e+02°)
1.22086225405908e+00	(-2.09456876122718e+00dB,1.41453465526425e+02°)
1.22179966016488e+00	(-2.08308683029496e+00dB,1.41434123360007e+02°)
1.22273778603264e+00	(-2.07160691068118e+00dB,1.41414770060982e+02°)
1.22367663221500e+00	(-2.06012900353394e+00dB,1.41395405631969e+02°)
1.22461619926505e+00	(-2.04865311048930e+00dB,1.41376030081195e+02°)
1.22555648773628e+00	(-2.03717923327350e+00dB,1.41356643416442e+02°)
1.22649749818262e+00	(-2.02570737341240e+00dB,1.41337245644555e+02°)
1.22743923115841e+00	(-2.01423753233681e+00dB,1.41317836771573e+02°)
1.22838168721843e+00	(-2.00276971174352e+00dB,1.41298416804867e+02°)
1.22932486691788e+00	(-1.99130391298353e+00dB,1.41278985750308e+02°)
1.23026877081239e+00	(-1.97984013768132e+00dB,1.41259543615052e+02°)
1.23121339945800e+00	(-1.96837838735816e+00dB,1.41240090405492e+02°)
1.23215875341121e+00	(-1.95691866363427e+00dB,1.41220626129550e+02°)
1.23310483322891e+00	(-1.94546096806545e+00dB,1.41201150794176e+02°)
1.23405163946845e+00	(-1.93400530199045e+00dB,1.41181664404836e+02°)
1.23499917268759e+00	(-1.92255166713388e+00dB,1.41162166968999e+02°)
1.23594743344452e+00	(-1.91110006505482e+00dB,1.41142658495042e+02°)
1.23689642229785e+00	(-1.89965049715451e+00dB,1.41123138987545e+02°)
1.23784613980664e+00	(-1.88820296492855e+00dB,1.41103608453296e+02°)
1.23879658653037e+00	(-1.87675747016800e+00dB,1.41084066902200e+02°)
1.23974776302895e+00	(-1.86531401419799e+00dB,1.41064514338686e+02°)
1.24069966986271e+00	(-1.85387259862375e+00dB,1.41044950770386e+02°)
1.24165230759242e+00	(-1.84243322484210e+00dB,1.41025376203417e+02°)
1.24260567677927e+00	(-1.83099589464674e+00dB,1.41005790647119e+02°)
1.24355977798491e+00	(-1.81956060945303e+00dB,1.40986194106909e+02°)
1.24451461177139e+00	(-1.80812737071006e+00dB,1.40966586589388e+02°)
1.24547017870120e+00	(-1.79669617999489e+00dB,1.40946968102489e+02°)
1.24642647933727e+00	(-1.78526703869225e+00dB,1.40927338651242e+02°)
1.24738351424295e+00	(-1.77383994872063e+00dB,1.40907698246424e+02°)
1.24834128398203e+00	(-1.76241491110635e+00dB,1.40888046890436e+02°)
1.24929978911874e+00	(-1.75099192768765e+00dB,1.40868384593876e+02°)
1.25025903021772e+00	(-1.73957099999350e+00dB,1.40848711363099e+02°)
1.25121900784408e+00	(-1.72815212945861e+00dB,1.40829027204993e+02°)
1.25217972256333e+00	(-1.71673531762948e+00dB,1.40809332126536e+02°)
1.25314117494142e+00	(-1.70532056596956e+00dB,1.40789626134523e+02°)
1.25410336554475e+00	(-1.69390787613231e+00dB,1.40769909237371e+02°)
1.25506629494015e+00	(-1.68249724943736e+00dB,1.40750181440089e+02°)
1.25602996369488e+00	(-1.67108868757001e+00dB,1.40730442751628e+02°)
1.25699437237663e+00	(-1.65968219193050e+00dB,1.40710693177925e+02°)
1.25795952155354e+00	(-1.64827776422071e+00dB,1.40690932728533e+02°)
1.25892541179417e+00	(-1.63687540568569e+00dB,1.40671161407026e+02°)
1.25989204366754e+00	(-1.62547511809965e+00dB,1.40651379223912e+02°)
1.26085941774308e+00	(-1.61407690269522e+00dB,1.40631586183541e+02°)
1.26182753459068e+00	(-1.60268076121376e+00dB,1.40611782295340e+02°)
